timestamp,ASV,CLOSE,INTERSECTION,LEFT,RIGHT,SLOW,STOPPED,STRAIGHT
2024-03-28 12:49:27.633,0.16192278265953064,0.30623242259025574,0.5318447947502136,0.9836359620094299,0.016363997012376785,0.45975837111473083,0.8089514374732971,0.8295450210571289
2024-03-28 12:49:27.658,0.08406224846839905,0.5988218784332275,0.317115843296051,0.965320348739624,0.03467966988682747,0.4770282804965973,0.8379498720169067,0.8069204688072205
2024-03-28 12:49:27.729,0.05582324042916298,0.5541779398918152,0.38999879360198975,0.934087872505188,0.06591208279132843,0.431474506855011,0.8454575538635254,0.7963514924049377
2024-03-28 12:49:27.831,0.060401707887649536,0.49628251791000366,0.4433157444000244,0.9241428375244141,0.07585718482732773,0.39417698979377747,0.8580707907676697,0.7913196086883545
2024-03-28 12:49:27.932,0.062016308307647705,0.5369300246238708,0.40105363726615906,0.9300312995910645,0.06996867805719376,0.46366050839424133,0.8350041508674622,0.7814290523529053
2024-03-28 12:49:28.028,0.0678664818406105,0.5384868383407593,0.3936466574668884,0.9007254242897034,0.09927453845739365,0.4945765733718872,0.8259037137031555,0.7829239964485168
2024-03-28 12:49:28.130,0.1046985536813736,0.568722128868103,0.3265793025493622,0.9760797619819641,0.023920193314552307,0.4886382818222046,0.8108084201812744,0.7969581484794617
2024-03-28 12:49:28.231,0.11711098253726959,0.5809546709060669,0.3019343912601471,0.9839723110198975,0.01602764241397381,0.47379422187805176,0.8218733072280884,0.8021585941314697
2024-03-28 12:49:28.334,0.12468867003917694,0.5902255177497864,0.2850857973098755,0.985052764415741,0.014947197400033474,0.4507504403591156,0.827366054058075,0.8032937049865723
2024-03-28 12:49:28.429,0.10887607932090759,0.6040405035018921,0.2870834469795227,0.9608787298202515,0.03912125155329704,0.4206843376159668,0.8928439021110535,0.6421368718147278
2024-03-28 12:49:28.532,0.10781995952129364,0.5361872315406799,0.35599279403686523,0.9772501587867737,0.022749880328774452,0.4841954708099365,0.8859274983406067,0.6422277688980103
2024-03-28 12:49:28.630,0.11293797940015793,0.510836124420166,0.37622591853141785,0.9897560477256775,0.010244003497064114,0.47762733697891235,0.8946386575698853,0.6478403806686401
2024-03-28 12:49:28.730,0.10939010232686996,0.5105853080749512,0.3800245523452759,0.9896565675735474,0.010343488305807114,0.49650242924690247,0.8933625221252441,0.6480528116226196
2024-03-28 12:49:28.828,0.11884959787130356,0.44038933515548706,0.44076108932495117,0.9969632029533386,0.003036830108612776,0.5197781920433044,0.8963961005210876,0.6608927845954895
2024-03-28 12:49:28.925,0.11531686037778854,0.42989033460617065,0.4547928273677826,0.9972659349441528,0.002734028035774827,0.5444763898849487,0.8957412838935852,0.6619002819061279
2024-03-28 12:49:29.031,0.10991214215755463,0.26942121982574463,0.6206665635108948,0.9988387227058411,0.001161303254775703,0.6579611897468567,0.8496250510215759,0.7488484382629395
2024-03-28 12:49:29.134,0.10386250168085098,0.24122074246406555,0.6549167633056641,0.9992122650146484,0.0007877256721258163,0.656479001045227,0.8421844244003296,0.7569624781608582
2024-03-28 12:49:29.234,0.0666419044137001,0.27847620844841003,0.6548819541931152,0.9999810457229614,1.895511377369985e-05,0.8134828209877014,0.9441896080970764,0.9502180814743042
2024-03-28 12:49:29.326,0.1209639310836792,0.21498262882232666,0.6640534400939941,0.9999938011169434,6.247100373002468e-06,0.7841978073120117,0.8260121941566467,0.9201045632362366
