participant_id,CLOSE,ASV,BIKE
P01,1 2 2,1 1 1,2 1 1
P02,1 2 2,1 2 2,1 2 2
P03,1 1 2,1 2 1,1 2 2
P04,1 2 2,1 2 2,2 1 1
P05,1 2 2,1 2 2,1 2 2
P06,1 2 2,1 2 2,1 2 2
